rolling,AnchorId,TagID,TOA,POA_SYNC,POA_REPLY
27862,2812,17839,58444,145,156
27863,31699,17839,64451,73,146
27863,31699,2812,4120,87,80
27863,23339,17839,64453,153,214
27863,23339,2812,4097,20,15
27863,2259,17839,64407,39,63
27863,2259,2812,4119,130,126
27863,2812,17839,64421,103,127
27865,31699,17839,10863,20,78
27865,31699,2812,15892,84,83
27865,2259,17839,10823,227,5
27865,2259,2812,15896,128,137
27865,23339,17839,10841,153,183
27865,23339,2812,15871,11,19
27865,2812,17839,10832,35,57
27864,31699,17839,4881,47,74
27864,31699,2812,9753,82,80
27864,2259,17839,4852,244,47
27864,2259,2812,9755,133,135
27864,23339,17839,4902,137,154
27864,23339,2812,9728,4,3
27864,2812,17839,4867,32,117
27866,31699,17839,16847,243,10
27866,31699,2812,22043,79,74
27866,23339,17839,16838,78,126
27866,23339,2812,22011,20,2
27866,2259,17839,16808,165,227
27866,2259,2812,22037,126,122
